Plot,Isolate_x,Isolate_y,SICA,escape_ratio_x_from_y,escape_ratio_y_from_x,alt_escape_ratio_x_from_y,alt_escape_ratio_y_from_x
3,3F,3G,Chloramphenicol,13.65217391,0,1.860582307,0
3,3F,3G,Rifampicin,7.240165631,0.14084507,1.776035834,0.52807971
3,3F,3G,Streptomycin,0.519668737,3.535211268,0.273796193,3.066123188
3,3F,3G,Streptothricin,0,37.18309859,0,2.83423913
3,3F,3G,Tetracycline,2.35610766,8.492957746,0.394176932,1.139492754
3,3F,3G,Vancomycin,1.641821946,2.985915493,1.073628219,0.996376812
3,3F,3H,Chloramphenicol,12.62886598,0.449799197,3.499354839,0.090454773
3,3F,3H,Rifampicin,1.529209622,1.618473896,0.472903226,1.917291354
3,3F,3H,Streptomycin,1.154639175,0.59437751,1.149677419,0.765867066
3,3F,3H,Streptothricin,0.237113402,30.93574297,0.053548387,2.067466267
3,3F,3H,Tetracycline,0.243986254,7.236947791,0.121290323,1.613943028
3,3F,3H,Vancomycin,23.65979381,0.16064257,5.829032258,0.092203898
3,3F,3I,Chloramphenicol,0.113360324,5.478991597,0.04454343,2.552678255
3,3F,3I,Rifampicin,2.101214575,1.361344538,2.497401633,0.418588152
3,3F,3I,Streptomycin,1.105263158,1.109243697,1.165553081,0.9851011
3,3F,3I,Streptothricin,0.052631579,87.06722689,0.009651076,4.055693508
3,3F,3I,Tetracycline,0.16194332,28.71428571,0.02969562,4.710180915
3,3F,3I,Vancomycin,1.781376518,0.781512605,1.580549369,0.746718695
3,3F,3J,Chloramphenicol,0.066317627,Inf,0.031853973,4.242014077
3,3F,3J,Rifampicin,0.97556719,Inf,0.781675018,1.170005414
3,3F,3J,Streptomycin,0.47469459,Inf,0.513958482,2.466702761
3,3F,3J,Streptothricin,0,Inf,0.002505369,8.53654575
3,3F,3J,Tetracycline,0.195462478,Inf,0.043307087,2.011911207
3,3F,3J,Vancomycin,0.677137871,NA,0.329992842,2.426096372
3,3G,3H,Chloramphenicol,0.08984375,2.041931385,0.018976898,0.262067841
3,3G,3H,Rifampicin,0.0390625,9.540025413,0.071782178,2.085453359
3,3G,3H,Streptomycin,1.48828125,0.416772554,2.405115512,0.292074364
3,3G,3H,Streptothricin,1.09375,2.23252859,0.48349835,0.921069798
3,3G,3H,Tetracycline,0.58984375,6.804320203,0.491749175,1.144324853
3,3G,3H,Vancomycin,19.5546875,0.07750953,5.404290429,0.100945858
3,3G,3I,Chloramphenicol,0,24.06514085,0,2.92922423
3,3G,3I,Rifampicin,2.044444444,4.447183099,1.104575163,0.939851222
3,3G,3I,Streptomycin,5.355555556,0.355633803,3.492810458,0.312858661
3,3G,3I,Streptothricin,4.288888889,4.091549296,0.471895425,1.838894793
3,3G,3I,Tetracycline,2.644444444,16.70774648,0.301960784,2.894580234
3,3G,3I,Vancomycin,7.555555556,0.963028169,1.525490196,0.824229543
3,3G,3J,Chloramphenicol,0,42.35014837,0,4.642580645
3,3G,3J,Rifampicin,0.638586957,9.400593472,0.431918936,2.070967742
3,3G,3J,Streptomycin,0.608695652,0.747774481,1.282457251,0.883225806
3,3G,3J,Streptothricin,0.277173913,9.902077151,0.107029766,4.129032258
3,3G,3J,Tetracycline,0.364130435,9.56379822,0.545915136,1.486129032
3,3G,3J,Vancomycin,1.051630435,3.462908012,0.358454718,2.212903226
3,3H,3I,Chloramphenicol,0.255905512,24.03773585,0.045373665,5.163461538
3,3H,3I,Rifampicin,3.645669291,1.022012579,2.901245552,0.275501672
3,3H,3I,Streptomycin,1.059055118,1.072327044,0.640272835,0.870819398
3,3H,3I,Streptothricin,0.578740157,2.556603774,0.325919336,1.809364548
3,3H,3I,Tetracycline,0,1.110062893,0.129893238,3.095735786
3,3H,3I,Vancomycin,0.011811024,20.28616352,0.142645314,3.813963211
3,3H,3J,Chloramphenicol,0.153452685,36.39189189,0.045547881,6.6659857
3,3H,3J,Rifampicin,1.606138107,1.103603604,1.49598656,0.536772217
3,3H,3J,Streptomycin,0.407502131,2.932432432,0.394623857,2.017875383
3,3H,3J,Streptothricin,0.250639386,5.121621622,0.092215792,4.117977528
3,3H,3J,Tetracycline,0.609548167,0.445945946,0.69012507,0.52145046
3,3H,3J,Vancomycin,0.041773231,38.8018018,0.056374837,6.397854954
3,3I,3J,Chloramphenicol,0.370870871,NA,0.51784209,2.151754386
3,3I,3J,Rifampicin,0.504504505,Inf,0.416409104,3.195614035
3,3I,3J,Streptomycin,0.24024024,Inf,0.463613375,3.125438596
3,3I,3J,Streptothricin,0.039039039,Inf,0.17139646,4.342105263
3,3I,3J,Tetracycline,1.492492492,NA,2.740657488,0.097368421
3,3I,3J,Vancomycin,0.328828829,Inf,0.293621804,4.059649123
4,4A,4B,Chloramphenicol,2.723404255,Inf,0.281179138,1.968253968
4,4A,4B,Rifampicin,0,Inf,0.028020732,21.59183673
4,4A,4B,Streptomycin,0.155015198,Inf,0.200518303,5.548752834
4,4A,4B,Streptothricin,0.039513678,NA,0.321509556,2.9138322
4,4A,4B,Tetracycline,0.73556231,NA,0.487204406,1.054421769
4,4A,4B,Vancomycin,9.316109422,Inf,1.461775186,0.764172336
4,4A,4C,Chloramphenicol,0.122264371,Inf,0.128973161,1.972413793
4,4A,4C,Rifampicin,0,Inf,0.026564074,12.90344828
4,4A,4C,Streptomycin,0.108549752,NA,0.41055235,0.804597701
4,4A,4C,Streptothricin,0,NA,0.143904003,4.733333333
4,4A,4C,Tetracycline,0.908082871,NA,0.577448017,0.436781609
4,4A,4C,Vancomycin,0.346075285,Inf,0.586333242,1.032183908
4,4A,4D,Chloramphenicol,1.395225464,Inf,0.772972973,0.241407089
4,4A,4D,Rifampicin,0,Inf,0.102702703,4.304511278
4,4A,4D,Streptomycin,0.763925729,Inf,0.436293436,1.937969925
4,4A,4D,Streptothricin,12.71087533,NA,3.54980695,0.026047261
4,4A,4D,Tetracycline,0.233421751,Inf,0.466795367,0.777121375
4,4A,4D,Vancomycin,11.77453581,NA,3.130888031,0.103920516
4,4A,4E,Chloramphenicol,2.024112525,NA,0.516870708,0.021637296
4,4A,4E,Rifampicin,0.056262559,Inf,0.046133174,3.198304707
4,4A,4E,Streptomycin,0.876758205,NA,0.517617199,1.066027214
4,4A,4E,Streptothricin,1.955123912,NA,0.888324873,0.914789204
4,4A,4E,Tetracycline,3.39651708,NA,1.005374739,0.051527995
4,4A,4E,Vancomycin,0.230408573,Inf,0.24828307,1.613205443
4,4A,4F,Chloramphenicol,13.77777778,Inf,0.499679076,0.376439327
4,4A,4F,Rifampicin,0,Inf,0.011553273,7.836138175
4,4A,4F,Streptomycin,2.166666667,Inf,0.151155327,3.613374668
4,4A,4F,Streptothricin,1.75,NA,0.631258023,1.160761736
